[2026-06-01 10:13:46] === Sniffer Started ===
[2026-06-01 10:14:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:14:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:14:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:14:30] UDP  | 192.168.146.1:56585 --> 224.0.0.252:5355
[2026-06-01 10:14:30] UDP  | 192.168.146.1:50260 --> 224.0.0.252:5355
[2026-06-01 10:14:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:14:30] UDP  | 192.168.146.1:50260 --> 224.0.0.252:5355
[2026-06-01 10:14:30] UDP  | 192.168.146.1:56585 --> 224.0.0.252:5355
[2026-06-01 10:14:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:14:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:14:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:14:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:30] UDP  | 192.168.146.1:52827 --> 224.0.0.252:5355
[2026-06-01 10:15:30] UDP  | 192.168.146.1:50260 --> 224.0.0.252:5355
[2026-06-01 10:15:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:30] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:30] UDP  | 192.168.146.1:52827 --> 224.0.0.252:5355
[2026-06-01 10:15:30] UDP  | 192.168.146.1:50260 --> 224.0.0.252:5355
[2026-06-01 10:15:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
[2026-06-01 10:15:31] UDP  | 192.168.146.1:5353 --> 224.0.0.251:5353
